stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
cuerd	-1	11622	cuerdas
usurp	-1	11622	Usurpador
solt	-1	11622	soltó
indecent	-1	11622	indecentes
alzaron	-1	11622	alzaron
unison	-1	11622	unísono
salpicadur	-1	11622	salpicaduras
hinc	-1	11622	hincó
levanta	-1	11622	Levantaos
mhysa	-1	11622	Mhysa
chiquitin	-1	11622	chiquitina
vocecit	-1	11622	vocecita
uniendos	-1	11622	uniéndose
arrodill	-1	11622	arrodillaban
mael	-1	11622	Maela
aelall	-1	11622	Aelalla
qathei	-1	11622	Qathei
cantic	-1	11622	cántico
estremec	-1	11622	estremecía
acarici	-1	11622	acariciar
crin	-1	11622	crines
dulc	-1	11622	dulce
galop	-1	11622	galope
enton	-1	11622	entonaban
mejill	10	11622	mejilla
temblor	13	11622	tembloroso
agit	14	11622	agitando
murall	41	11622	murallas
curv	42	11622	curvó
escup	69	11622	escupió
pom	88	11622	pomos
medit	90	11622	meditó
acost	92	11622	acostarse
maldit	97	11622	maldito
mordisqu	106	11622	mordisquearle
aguard	114	11622	aguardarlos
gargant	178	11622	gargantas
tap	196	11622	tapa
maldicion	206	11622	maldiciones
fea	251	11622	fea
gruñ	270	11622	gruñía
sise	273	11622	siseó
ramer	298	11622	ramera
reir	331	11622	reír
truen	368	11622	trueno
gem	376	11622	gemas
bofet	383	11622	bofetada
tropez	421	11622	tropezó
magnif	423	11622	magnífico
sopl	434	11622	soplaba
malgast	502	11622	malgastar
amarillent	518	11622	amarillento
conmig	555	11622	conmigo
prad	582	11622	prados
fust	584	11622	fusta
rug	613	11622	rugió
voluntari	663	11622	voluntaria
na	667	11622	na
escori	705	11622	escoria
alfombr	772	11622	alfombras
unirs	789	11622	unirse
matanz	796	11622	matanza
campament	818	11622	campamento
patrull	826	11622	patrullar
pend	880	11622	pendió
paliz	960	11622	paliza
cuer	1179	11622	cuero
hermand	1316	11622	hermandad
zanj	1366	11622	zanja
guant	1382	11622	guantes
astut	1387	11622	astutos
pref	1431	11622	prefieran
centinel	1501	11622	centinelas
grandi	1533	11622	grandiosidad
deshilach	1569	11622	deshilachar
atuend	1579	11622	atuendo
oyo	1646	11622	Oyó
leal	1664	11622	leales
pedaz	1698	11622	pedazos
uniend	1708	11622	uniendo
desmont	1746	11622	desmontó
desmoron	1766	11622	desmoronarse
gentil	1779	11622	gentil
sencillez	1798	11622	sencillez
diversion	1807	11622	diversiones
